epoch:0, Training MAE:1.030(eV), Training Loss:1.229937, Test MAE:2.479(eV), Test Loss:13.504141, Learning Rate:0.000999973
epoch:1, Training MAE:0.647(eV), Training Loss:0.361127, Test MAE:1.639(eV), Test Loss:5.234207, Learning Rate:0.00099989
epoch:2, Training MAE:0.499(eV), Training Loss:0.463820, Test MAE:2.667(eV), Test Loss:6.502715, Learning Rate:0.000999753
epoch:3, Training MAE:0.442(eV), Training Loss:0.304874, Test MAE:1.135(eV), Test Loss:1.425143, Learning Rate:0.000999561
epoch:4, Training MAE:0.418(eV), Training Loss:0.155365, Test MAE:1.325(eV), Test Loss:2.951618, Learning Rate:0.000999315
epoch:5, Training MAE:0.389(eV), Training Loss:0.442301, Test MAE:3.313(eV), Test Loss:16.118336, Learning Rate:0.000999013
epoch:6, Training MAE:0.375(eV), Training Loss:0.188997, Test MAE:5.054(eV), Test Loss:29.921173, Learning Rate:0.000998657
epoch:7, Training MAE:0.356(eV), Training Loss:0.174168, Test MAE:4.495(eV), Test Loss:21.864326, Learning Rate:0.000998246
epoch:8, Training MAE:0.317(eV), Training Loss:0.119175, Test MAE:4.102(eV), Test Loss:21.774786, Learning Rate:0.000997781
epoch:9, Training MAE:0.317(eV), Training Loss:0.106178, Test MAE:7.221(eV), Test Loss:54.562988, Learning Rate:0.000997261
epoch:10, Training MAE:0.290(eV), Training Loss:0.204546, Test MAE:1.456(eV), Test Loss:3.124172, Learning Rate:0.000996686
epoch:11, Training MAE:0.274(eV), Training Loss:0.062221, Test MAE:4.773(eV), Test Loss:20.711132, Learning Rate:0.000996057
epoch:12, Training MAE:0.261(eV), Training Loss:0.083728, Test MAE:2.510(eV), Test Loss:10.811775, Learning Rate:0.000995374
epoch:13, Training MAE:0.241(eV), Training Loss:0.152131, Test MAE:5.588(eV), Test Loss:28.212433, Learning Rate:0.000994636
epoch:14, Training MAE:0.234(eV), Training Loss:0.063314, Test MAE:3.101(eV), Test Loss:9.815582, Learning Rate:0.000993844
epoch:15, Training MAE:0.223(eV), Training Loss:0.072829, Test MAE:5.317(eV), Test Loss:31.696121, Learning Rate:0.000992998
epoch:16, Training MAE:0.221(eV), Training Loss:0.088082, Test MAE:3.396(eV), Test Loss:13.132988, Learning Rate:0.000992098
epoch:17, Training MAE:0.214(eV), Training Loss:0.093619, Test MAE:6.374(eV), Test Loss:36.621849, Learning Rate:0.000991144
epoch:18, Training MAE:0.202(eV), Training Loss:0.114107, Test MAE:1.533(eV), Test Loss:2.642021, Learning Rate:0.000990136
epoch:19, Training MAE:0.197(eV), Training Loss:0.038279, Test MAE:3.245(eV), Test Loss:12.116351, Learning Rate:0.000989074
