epoch:0, Training MAE:1.816(eV), Training Loss:1.427698, Test MAE:0.835(eV), Test Loss:1.304188, Learning Rate:0.000999973
epoch:1, Training MAE:0.900(eV), Training Loss:1.215204, Test MAE:0.736(eV), Test Loss:1.316480, Learning Rate:0.00099989
epoch:2, Training MAE:0.886(eV), Training Loss:0.644967, Test MAE:0.654(eV), Test Loss:0.780864, Learning Rate:0.000999753
epoch:3, Training MAE:0.900(eV), Training Loss:3.538633, Test MAE:0.738(eV), Test Loss:0.433843, Learning Rate:0.000999561
epoch:4, Training MAE:0.772(eV), Training Loss:1.024957, Test MAE:1.911(eV), Test Loss:5.098560, Learning Rate:0.000999315
epoch:5, Training MAE:0.663(eV), Training Loss:0.841936, Test MAE:0.498(eV), Test Loss:0.351315, Learning Rate:0.000999013
epoch:6, Training MAE:0.687(eV), Training Loss:0.262930, Test MAE:0.857(eV), Test Loss:1.014068, Learning Rate:0.000998657
epoch:7, Training MAE:0.630(eV), Training Loss:0.609130, Test MAE:0.542(eV), Test Loss:0.406853, Learning Rate:0.000998246
epoch:8, Training MAE:0.604(eV), Training Loss:0.525358, Test MAE:0.447(eV), Test Loss:0.456732, Learning Rate:0.000997781
epoch:9, Training MAE:0.597(eV), Training Loss:0.628321, Test MAE:1.227(eV), Test Loss:2.056676, Learning Rate:0.000997261
epoch:10, Training MAE:0.556(eV), Training Loss:0.391991, Test MAE:0.816(eV), Test Loss:0.745290, Learning Rate:0.000996686
epoch:11, Training MAE:0.559(eV), Training Loss:0.254868, Test MAE:0.419(eV), Test Loss:0.274900, Learning Rate:0.000996057
epoch:12, Training MAE:0.529(eV), Training Loss:0.182478, Test MAE:0.655(eV), Test Loss:0.594464, Learning Rate:0.000995374
epoch:13, Training MAE:0.494(eV), Training Loss:0.301365, Test MAE:0.561(eV), Test Loss:0.606210, Learning Rate:0.000994636
epoch:14, Training MAE:0.470(eV), Training Loss:0.358244, Test MAE:0.396(eV), Test Loss:0.145259, Learning Rate:0.000993844
epoch:15, Training MAE:0.454(eV), Training Loss:0.316065, Test MAE:0.530(eV), Test Loss:0.431407, Learning Rate:0.000992998
epoch:16, Training MAE:0.442(eV), Training Loss:0.606380, Test MAE:0.624(eV), Test Loss:0.518390, Learning Rate:0.000992098
epoch:17, Training MAE:0.414(eV), Training Loss:0.286438, Test MAE:0.587(eV), Test Loss:0.504650, Learning Rate:0.000991144
epoch:18, Training MAE:0.430(eV), Training Loss:0.243870, Test MAE:0.552(eV), Test Loss:0.445334, Learning Rate:0.000990136
epoch:19, Training MAE:0.430(eV), Training Loss:0.286332, Test MAE:0.358(eV), Test Loss:0.116517, Learning Rate:0.000989074
epoch:20, Training MAE:0.409(eV), Training Loss:0.240298, Test MAE:0.937(eV), Test Loss:1.571629, Learning Rate:0.000987958
epoch:21, Training MAE:0.403(eV), Training Loss:0.365458, Test MAE:0.737(eV), Test Loss:0.982518, Learning Rate:0.000986789
epoch:22, Training MAE:0.409(eV), Training Loss:0.182176, Test MAE:0.398(eV), Test Loss:0.247092, Learning Rate:0.000985567
epoch:23, Training MAE:0.414(eV), Training Loss:0.218538, Test MAE:0.797(eV), Test Loss:0.621617, Learning Rate:0.000984292
epoch:24, Training MAE:0.421(eV), Training Loss:0.168595, Test MAE:0.335(eV), Test Loss:0.180943, Learning Rate:0.000982963
