epoch:0, Training MAE:2.429(eV), Training Loss:2.552357, Test MAE:19.208(eV), Test Loss:415.344238, Learning Rate:0.000999973
epoch:1, Training MAE:1.000(eV), Training Loss:3.285697, Test MAE:2.773(eV), Test Loss:9.148765, Learning Rate:0.00099989
epoch:2, Training MAE:0.929(eV), Training Loss:1.492831, Test MAE:1.406(eV), Test Loss:4.281550, Learning Rate:0.000999753
epoch:3, Training MAE:0.918(eV), Training Loss:0.701295, Test MAE:1.385(eV), Test Loss:6.021402, Learning Rate:0.000999561
epoch:4, Training MAE:0.837(eV), Training Loss:1.649358, Test MAE:1.201(eV), Test Loss:2.005849, Learning Rate:0.000999315
epoch:5, Training MAE:0.769(eV), Training Loss:0.764594, Test MAE:2.153(eV), Test Loss:5.503488, Learning Rate:0.000999013
epoch:6, Training MAE:0.689(eV), Training Loss:2.424591, Test MAE:0.765(eV), Test Loss:2.104463, Learning Rate:0.000998657
epoch:7, Training MAE:0.736(eV), Training Loss:0.787107, Test MAE:9.378(eV), Test Loss:93.478783, Learning Rate:0.000998246
epoch:8, Training MAE:0.751(eV), Training Loss:0.474353, Test MAE:2.165(eV), Test Loss:6.786738, Learning Rate:0.000997781
epoch:9, Training MAE:0.586(eV), Training Loss:1.898791, Test MAE:4.588(eV), Test Loss:29.379944, Learning Rate:0.000997261
epoch:10, Training MAE:0.668(eV), Training Loss:0.708745, Test MAE:2.874(eV), Test Loss:9.761152, Learning Rate:0.000996686
epoch:11, Training MAE:0.582(eV), Training Loss:0.412677, Test MAE:3.273(eV), Test Loss:10.325550, Learning Rate:0.000996057
epoch:12, Training MAE:0.597(eV), Training Loss:0.250130, Test MAE:5.325(eV), Test Loss:31.245331, Learning Rate:0.000995374
epoch:13, Training MAE:0.519(eV), Training Loss:0.328560, Test MAE:5.345(eV), Test Loss:29.359589, Learning Rate:0.000994636
epoch:14, Training MAE:0.495(eV), Training Loss:0.623476, Test MAE:2.840(eV), Test Loss:10.634847, Learning Rate:0.000993844
epoch:15, Training MAE:0.526(eV), Training Loss:0.615635, Test MAE:7.544(eV), Test Loss:62.456055, Learning Rate:0.000992998
epoch:16, Training MAE:0.509(eV), Training Loss:0.449980, Test MAE:7.675(eV), Test Loss:63.625267, Learning Rate:0.000992098
epoch:17, Training MAE:0.483(eV), Training Loss:0.287250, Test MAE:10.428(eV), Test Loss:273.432739, Learning Rate:0.000991144
epoch:18, Training MAE:0.477(eV), Training Loss:0.351535, Test MAE:4.771(eV), Test Loss:22.777870, Learning Rate:0.000990136
epoch:19, Training MAE:0.501(eV), Training Loss:0.830011, Test MAE:3.192(eV), Test Loss:15.883106, Learning Rate:0.000989074
epoch:20, Training MAE:0.475(eV), Training Loss:0.278929, Test MAE:5.749(eV), Test Loss:34.713982, Learning Rate:0.000987958
epoch:21, Training MAE:0.453(eV), Training Loss:0.474543, Test MAE:4.031(eV), Test Loss:67.591316, Learning Rate:0.000986789
epoch:22, Training MAE:0.463(eV), Training Loss:0.300611, Test MAE:5.968(eV), Test Loss:48.293316, Learning Rate:0.000985567
epoch:23, Training MAE:0.432(eV), Training Loss:0.271939, Test MAE:4.594(eV), Test Loss:26.351118, Learning Rate:0.000984292
epoch:24, Training MAE:0.461(eV), Training Loss:0.756057, Test MAE:6.301(eV), Test Loss:39.931168, Learning Rate:0.000982963
epoch:25, Training MAE:0.478(eV), Training Loss:0.247509, Test MAE:7.030(eV), Test Loss:50.442192, Learning Rate:0.000981581
epoch:26, Training MAE:0.479(eV), Training Loss:0.255374, Test MAE:8.976(eV), Test Loss:85.173447, Learning Rate:0.000980147
epoch:27, Training MAE:0.471(eV), Training Loss:0.178451, Test MAE:6.974(eV), Test Loss:48.698895, Learning Rate:0.00097866
epoch:28, Training MAE:0.423(eV), Training Loss:0.406270, Test MAE:4.219(eV), Test Loss:19.616734, Learning Rate:0.00097712
epoch:29, Training MAE:0.504(eV), Training Loss:0.706050, Test MAE:14.274(eV), Test Loss:215.466904, Learning Rate:0.000975528
epoch:30, Training MAE:0.428(eV), Training Loss:0.282666, Test MAE:5.384(eV), Test Loss:30.214275, Learning Rate:0.000973884
epoch:31, Training MAE:0.429(eV), Training Loss:0.115854, Test MAE:3.140(eV), Test Loss:13.438224, Learning Rate:0.000972188
epoch:32, Training MAE:0.421(eV), Training Loss:0.217360, Test MAE:7.242(eV), Test Loss:52.688408, Learning Rate:0.00097044
epoch:33, Training MAE:0.457(eV), Training Loss:0.313081, Test MAE:5.224(eV), Test Loss:30.301105, Learning Rate:0.000968641
epoch:34, Training MAE:0.403(eV), Training Loss:0.240153, Test MAE:4.347(eV), Test Loss:23.718985, Learning Rate:0.00096679
epoch:35, Training MAE:0.373(eV), Training Loss:0.230116, Test MAE:8.569(eV), Test Loss:74.552078, Learning Rate:0.000964888
epoch:36, Training MAE:0.402(eV), Training Loss:0.290373, Test MAE:4.658(eV), Test Loss:24.637161, Learning Rate:0.000962935
epoch:37, Training MAE:0.402(eV), Training Loss:0.137315, Test MAE:5.351(eV), Test Loss:31.248608, Learning Rate:0.000960932
epoch:38, Training MAE:0.372(eV), Training Loss:0.386919, Test MAE:5.015(eV), Test Loss:24.347403, Learning Rate:0.000958877
epoch:39, Training MAE:0.382(eV), Training Loss:0.211970, Test MAE:4.991(eV), Test Loss:28.070339, Learning Rate:0.000956773
epoch:40, Training MAE:0.369(eV), Training Loss:0.246253, Test MAE:11.585(eV), Test Loss:139.030930, Learning Rate:0.000954618
epoch:41, Training MAE:0.387(eV), Training Loss:0.151954, Test MAE:5.744(eV), Test Loss:38.983482, Learning Rate:0.000952414
epoch:42, Training MAE:0.381(eV), Training Loss:0.350895, Test MAE:7.152(eV), Test Loss:55.650734, Learning Rate:0.000950159
epoch:43, Training MAE:0.427(eV), Training Loss:0.148688, Test MAE:11.301(eV), Test Loss:133.616745, Learning Rate:0.000947856
epoch:44, Training MAE:0.362(eV), Training Loss:0.124597, Test MAE:7.494(eV), Test Loss:60.564251, Learning Rate:0.000945503
epoch:45, Training MAE:0.338(eV), Training Loss:0.138422, Test MAE:7.506(eV), Test Loss:55.463264, Learning Rate:0.000943102
epoch:46, Training MAE:0.344(eV), Training Loss:0.274497, Test MAE:4.568(eV), Test Loss:27.434174, Learning Rate:0.000940652
epoch:47, Training MAE:0.349(eV), Training Loss:0.261880, Test MAE:5.454(eV), Test Loss:32.291683, Learning Rate:0.000938153
epoch:48, Training MAE:0.344(eV), Training Loss:0.168452, Test MAE:4.969(eV), Test Loss:43.530678, Learning Rate:0.000935607
epoch:49, Training MAE:0.343(eV), Training Loss:0.268839, Test MAE:6.691(eV), Test Loss:47.843727, Learning Rate:0.000933013
epoch:50, Training MAE:0.324(eV), Training Loss:0.294504, Test MAE:6.619(eV), Test Loss:44.535240, Learning Rate:0.000930371
epoch:51, Training MAE:0.332(eV), Training Loss:0.211083, Test MAE:4.744(eV), Test Loss:25.780022, Learning Rate:0.000927682
epoch:52, Training MAE:0.332(eV), Training Loss:0.292306, Test MAE:11.069(eV), Test Loss:117.972656, Learning Rate:0.000924946
epoch:53, Training MAE:0.349(eV), Training Loss:0.090729, Test MAE:4.222(eV), Test Loss:19.586365, Learning Rate:0.000922164
epoch:54, Training MAE:0.331(eV), Training Loss:0.572624, Test MAE:21.449(eV), Test Loss:454.342377, Learning Rate:0.000919335
epoch:55, Training MAE:0.327(eV), Training Loss:0.207175, Test MAE:6.623(eV), Test Loss:45.510368, Learning Rate:0.000916461
epoch:56, Training MAE:0.396(eV), Training Loss:0.145917, Test MAE:8.325(eV), Test Loss:64.411743, Learning Rate:0.00091354
epoch:57, Training MAE:0.340(eV), Training Loss:0.109497, Test MAE:6.380(eV), Test Loss:46.277966, Learning Rate:0.000910575
epoch:58, Training MAE:0.317(eV), Training Loss:0.151871, Test MAE:6.629(eV), Test Loss:45.414558, Learning Rate:0.000907564
epoch:59, Training MAE:0.314(eV), Training Loss:0.407545, Test MAE:3.929(eV), Test Loss:17.430866, Learning Rate:0.000904508
epoch:60, Training MAE:0.304(eV), Training Loss:0.075075, Test MAE:5.704(eV), Test Loss:36.893196, Learning Rate:0.000901409
epoch:61, Training MAE:0.290(eV), Training Loss:0.133134, Test MAE:6.573(eV), Test Loss:45.275169, Learning Rate:0.000898265
epoch:62, Training MAE:0.305(eV), Training Loss:0.085550, Test MAE:11.775(eV), Test Loss:137.607697, Learning Rate:0.000895078
epoch:63, Training MAE:0.302(eV), Training Loss:0.146594, Test MAE:5.607(eV), Test Loss:30.940395, Learning Rate:0.000891847
epoch:64, Training MAE:0.306(eV), Training Loss:0.216221, Test MAE:2.860(eV), Test Loss:8.604243, Learning Rate:0.000888573
epoch:65, Training MAE:0.275(eV), Training Loss:0.110784, Test MAE:2.503(eV), Test Loss:8.354275, Learning Rate:0.000885257
epoch:66, Training MAE:0.262(eV), Training Loss:0.081254, Test MAE:2.452(eV), Test Loss:9.183449, Learning Rate:0.000881898
epoch:67, Training MAE:0.270(eV), Training Loss:0.088518, Test MAE:5.154(eV), Test Loss:30.971283, Learning Rate:0.000878498
epoch:68, Training MAE:0.274(eV), Training Loss:0.108568, Test MAE:32.801(eV), Test Loss:1108.109741, Learning Rate:0.000875056
epoch:69, Training MAE:0.292(eV), Training Loss:0.149744, Test MAE:11.550(eV), Test Loss:163.592407, Learning Rate:0.000871572
epoch:70, Training MAE:0.259(eV), Training Loss:0.102568, Test MAE:14.466(eV), Test Loss:214.417404, Learning Rate:0.000868049
epoch:71, Training MAE:0.260(eV), Training Loss:0.105335, Test MAE:3.779(eV), Test Loss:16.430622, Learning Rate:0.000864484
epoch:72, Training MAE:0.279(eV), Training Loss:0.156781, Test MAE:3.755(eV), Test Loss:18.584263, Learning Rate:0.00086088
epoch:73, Training MAE:0.251(eV), Training Loss:0.162917, Test MAE:14.898(eV), Test Loss:228.846375, Learning Rate:0.000857236
epoch:74, Training MAE:0.257(eV), Training Loss:0.131583, Test MAE:3.537(eV), Test Loss:16.744646, Learning Rate:0.000853553
epoch:75, Training MAE:0.260(eV), Training Loss:0.092026, Test MAE:0.898(eV), Test Loss:1.224250, Learning Rate:0.000849832
epoch:76, Training MAE:0.247(eV), Training Loss:0.128616, Test MAE:2.504(eV), Test Loss:7.120683, Learning Rate:0.000846072
epoch:77, Training MAE:0.251(eV), Training Loss:0.087118, Test MAE:1.492(eV), Test Loss:3.076394, Learning Rate:0.000842274
