epoch:0, Training MAE:2.373(eV), Training Loss:5.701075, Test MAE:20.623(eV), Test Loss:471.702606, Learning Rate:0.000999973
epoch:1, Training MAE:1.291(eV), Training Loss:1.781759, Test MAE:7.293(eV), Test Loss:63.065193, Learning Rate:0.00099989
epoch:2, Training MAE:1.121(eV), Training Loss:1.028587, Test MAE:12.983(eV), Test Loss:173.005951, Learning Rate:0.000999753
epoch:3, Training MAE:1.119(eV), Training Loss:1.632092, Test MAE:9.016(eV), Test Loss:87.989304, Learning Rate:0.000999561
epoch:4, Training MAE:0.936(eV), Training Loss:1.614826, Test MAE:5.830(eV), Test Loss:67.765671, Learning Rate:0.000999315
epoch:5, Training MAE:0.840(eV), Training Loss:0.931898, Test MAE:9.326(eV), Test Loss:100.373749, Learning Rate:0.000999013
epoch:6, Training MAE:0.913(eV), Training Loss:0.729472, Test MAE:5.949(eV), Test Loss:35.068913, Learning Rate:0.000998657
epoch:7, Training MAE:0.825(eV), Training Loss:1.552374, Test MAE:6.624(eV), Test Loss:45.056358, Learning Rate:0.000998246
epoch:8, Training MAE:0.743(eV), Training Loss:1.333272, Test MAE:12.009(eV), Test Loss:143.970139, Learning Rate:0.000997781
epoch:9, Training MAE:0.670(eV), Training Loss:0.934878, Test MAE:8.829(eV), Test Loss:82.729500, Learning Rate:0.000997261
epoch:10, Training MAE:0.616(eV), Training Loss:0.891736, Test MAE:54.538(eV), Test Loss:3086.373779, Learning Rate:0.000996686
epoch:11, Training MAE:0.622(eV), Training Loss:0.383092, Test MAE:8.926(eV), Test Loss:83.841476, Learning Rate:0.000996057
epoch:12, Training MAE:0.630(eV), Training Loss:0.631170, Test MAE:8.357(eV), Test Loss:71.296738, Learning Rate:0.000995374
epoch:13, Training MAE:0.586(eV), Training Loss:0.429919, Test MAE:32.351(eV), Test Loss:1072.390991, Learning Rate:0.000994636
epoch:14, Training MAE:0.585(eV), Training Loss:0.788155, Test MAE:24.285(eV), Test Loss:612.675171, Learning Rate:0.000993844
epoch:15, Training MAE:0.576(eV), Training Loss:0.567635, Test MAE:12.264(eV), Test Loss:143.060165, Learning Rate:0.000992998
epoch:16, Training MAE:0.591(eV), Training Loss:1.154669, Test MAE:10.101(eV), Test Loss:114.090881, Learning Rate:0.000992098
epoch:17, Training MAE:0.638(eV), Training Loss:1.136196, Test MAE:12.341(eV), Test Loss:153.112640, Learning Rate:0.000991144
epoch:18, Training MAE:0.702(eV), Training Loss:0.467513, Test MAE:31.314(eV), Test Loss:937.215759, Learning Rate:0.000990136
epoch:19, Training MAE:0.665(eV), Training Loss:0.744685, Test MAE:28.807(eV), Test Loss:794.838806, Learning Rate:0.000989074
epoch:20, Training MAE:0.618(eV), Training Loss:0.555849, Test MAE:15.121(eV), Test Loss:350.076904, Learning Rate:0.000987958
epoch:21, Training MAE:0.583(eV), Training Loss:0.752633, Test MAE:10.926(eV), Test Loss:127.681969, Learning Rate:0.000986789
epoch:22, Training MAE:0.641(eV), Training Loss:0.408051, Test MAE:13.440(eV), Test Loss:178.162094, Learning Rate:0.000985567
epoch:23, Training MAE:0.635(eV), Training Loss:0.243108, Test MAE:8.262(eV), Test Loss:68.389763, Learning Rate:0.000984292
epoch:24, Training MAE:0.546(eV), Training Loss:0.411349, Test MAE:47.463(eV), Test Loss:2325.656982, Learning Rate:0.000982963
epoch:25, Training MAE:0.561(eV), Training Loss:0.293682, Test MAE:115.063(eV), Test Loss:13926.732422, Learning Rate:0.000981581
epoch:26, Training MAE:0.544(eV), Training Loss:0.549211, Test MAE:6.748(eV), Test Loss:49.400921, Learning Rate:0.000980147
epoch:27, Training MAE:0.522(eV), Training Loss:0.420390, Test MAE:8.451(eV), Test Loss:79.990387, Learning Rate:0.00097866
epoch:28, Training MAE:0.528(eV), Training Loss:0.406199, Test MAE:1.683(eV), Test Loss:3.606967, Learning Rate:0.00097712
epoch:29, Training MAE:0.511(eV), Training Loss:0.686273, Test MAE:244.220(eV), Test Loss:61005.796875, Learning Rate:0.000975528
epoch:30, Training MAE:0.563(eV), Training Loss:0.353608, Test MAE:7.548(eV), Test Loss:52.924267, Learning Rate:0.000973884
epoch:31, Training MAE:0.573(eV), Training Loss:0.671011, Test MAE:5.312(eV), Test Loss:32.198158, Learning Rate:0.000972188
epoch:32, Training MAE:0.514(eV), Training Loss:0.376414, Test MAE:7.152(eV), Test Loss:50.907738, Learning Rate:0.00097044
epoch:33, Training MAE:0.509(eV), Training Loss:0.307482, Test MAE:2512.250(eV), Test Loss:6546331.000000, Learning Rate:0.000968641
epoch:34, Training MAE:0.487(eV), Training Loss:0.366373, Test MAE:2.825(eV), Test Loss:9.522237, Learning Rate:0.00096679
epoch:35, Training MAE:0.455(eV), Training Loss:0.343593, Test MAE:16.883(eV), Test Loss:271.265808, Learning Rate:0.000964888
epoch:36, Training MAE:0.465(eV), Training Loss:0.392411, Test MAE:3.077(eV), Test Loss:13.197708, Learning Rate:0.000962935
epoch:37, Training MAE:0.465(eV), Training Loss:0.238685, Test MAE:6.751(eV), Test Loss:45.949017, Learning Rate:0.000960932
epoch:38, Training MAE:0.446(eV), Training Loss:0.179121, Test MAE:8.184(eV), Test Loss:66.836159, Learning Rate:0.000958877
epoch:39, Training MAE:0.434(eV), Training Loss:0.248916, Test MAE:15.380(eV), Test Loss:288.944763, Learning Rate:0.000956773
epoch:40, Training MAE:0.435(eV), Training Loss:0.256572, Test MAE:6.925(eV), Test Loss:60.174206, Learning Rate:0.000954618
epoch:41, Training MAE:0.435(eV), Training Loss:0.507415, Test MAE:2.241(eV), Test Loss:8.039532, Learning Rate:0.000952414
epoch:42, Training MAE:0.456(eV), Training Loss:0.920417, Test MAE:4.225(eV), Test Loss:15.968844, Learning Rate:0.000950159
epoch:43, Training MAE:0.422(eV), Training Loss:0.432452, Test MAE:12.438(eV), Test Loss:158.511932, Learning Rate:0.000947856
epoch:44, Training MAE:0.452(eV), Training Loss:0.319877, Test MAE:8.371(eV), Test Loss:99.540367, Learning Rate:0.000945503
epoch:45, Training MAE:0.408(eV), Training Loss:0.119106, Test MAE:9.646(eV), Test Loss:100.431213, Learning Rate:0.000943102
epoch:46, Training MAE:0.391(eV), Training Loss:0.302137, Test MAE:22711.879(eV), Test Loss:540923264.000000, Learning Rate:0.000940652
epoch:47, Training MAE:0.391(eV), Training Loss:0.398454, Test MAE:2.167(eV), Test Loss:5.986782, Learning Rate:0.000938153
epoch:48, Training MAE:0.407(eV), Training Loss:0.272788, Test MAE:1.719(eV), Test Loss:4.133346, Learning Rate:0.000935607
epoch:49, Training MAE:0.381(eV), Training Loss:0.202116, Test MAE:3.444(eV), Test Loss:15.710368, Learning Rate:0.000933013
epoch:50, Training MAE:0.378(eV), Training Loss:0.332800, Test MAE:1038.888(eV), Test Loss:1214091.625000, Learning Rate:0.000930371
epoch:51, Training MAE:0.395(eV), Training Loss:0.348899, Test MAE:15.650(eV), Test Loss:249.598480, Learning Rate:0.000927682
epoch:52, Training MAE:0.444(eV), Training Loss:0.225810, Test MAE:5.058(eV), Test Loss:28.386532, Learning Rate:0.000924946
epoch:53, Training MAE:0.415(eV), Training Loss:0.152295, Test MAE:2.749(eV), Test Loss:10.645384, Learning Rate:0.000922164
epoch:54, Training MAE:0.391(eV), Training Loss:0.262663, Test MAE:5.743(eV), Test Loss:34.647568, Learning Rate:0.000919335
